Category	Species	Biomolecule name	Biomolecule ID	Disease name	Disease ontology	ICD-10 classification	Tissue	PubMed_ID	Interaction gene symbol	Expression direction	Experimental method	Experimental method classification	Throughput	Description	Reference title	Year
microRNA	Homo sapiens	hsa-miR-100	MIMAT0000098	Metabolic syndrome	DOID:14221	E70-E90	heart	25857370	VLDLR	downregulation	qPCR	PCR	Low-throughput	VLDL receptor was a direct target of miR-100. miR-100 was significantly increased by GW501516 in HUVECs. Transfection of a miR-100 mimic decreased the mRNA and protein levels of VLDL receptor and uptake of VLDL. Furthermore, a miR-100 inhibitor abolished the inhibitory effect of PPAR-δ on VLDL receptor expression and VLDL uptake.	Activation of PPAR-δ Induces microRNA-100 and Decreases the Uptake of Very Low-Density Lipoprotein in Endothelial Cells.	2015
microRNA	Homo sapiens	hsa-miR-125a-3p	MIMAT0004602	Graves' disease	DOID:12361	E06	eripheral blood mononuclear cells	25863684	IL-23R	downregulation	real-time qPCR	PCR	Low-throughput	Taken together, our results indicate that decreased expression of miR-125a-3p was involved in the pathogenesis of Hashimoto's thyroiditis.	Decreased expression of microRNA-125a-3p upregulates interleukin-23 receptor in patients with Hashimoto's thyroiditis.	2015
microRNA	Homo sapiens	hsa-miR-199a-5p	MIMAT0000231	Osteoporosis	DOID:11476	M80	osteoblast	25878056	FZD4/WNT2	downregulation	real-time qPCR/luciferase assay	luciferase assays;PCR	Low-throughput	microRNA-199a-5p was significantly increased in osteoblasts treated with dexamethasone (Dex). To delineate the role of microRNA-199a-5p, we silenced and overexpressed microRNA-199a-5p in osteoblasts. We found that overexpressing microRNA-199a-5p remarkably increased the inhibition effect of Dex on osteoblast proliferation, and depleting microRNA-199a-5p significantly attenuated Dex-inhibited osteoblast proliferation.	Glucocorticoid inhibits cell proliferation in differentiating osteoblasts by microRNA-199a targeting of WNT signaling.	2015
microRNA	Homo sapiens	hsa-miR-33a	MIMAT0000091	Osteoarthritis	DOID:8398	-	chondrocytes	25880168	SREBP-2	upregulation	real-time PCR	PCR	Low-throughput	We found that the expression of miR-33a and its host gene SREBP-2 was significantly elevated in OA chondrocytes compared with normal chondrocytes.Our findings suggest, for the first time to our knowledge, that miR-33a regulates cholesterol synthesis through the TGF-β1/Akt/SREBP-2 pathway, as well as cholesterol efflux-related genes ABCA1 and ApoA1, in OA chondrocytes, pointing to its identification as a novel target for ameliorating the OA phenotype.	microRNA-33a regulates cholesterol synthesis and cholesterol efflux-related genes in osteoarthritic chondrocytes.	2015
microRNA	Homo sapiens	hsa-miR-21	MIMAT0000076	Osteoporosis	DOID:11476	M80	sternal bone	25882990	-	downregulation	RT-PCR	PCR	Low-throughput	In atherosclerosis, miR-21 is increased in the aorta and associated with vitamin D deficiency. Vitamin D deficiency may influence aberrant miR-21 expression in vasculature and bone contributing to the concurrent development of atherosclerosis and osteoporosis.	An Association between microRNA-21 Expression and Vitamin D Deficiency in Coronary Artery Disease.	2015
microRNA	Homo sapiens	hsa-miR-200b	MIMAT0000318	Diabetic retinopathy	DOID:8947	E14	retinal endothelium	25884496	PRC2	downregulation	real-time RT-PCR	PCR	Low-throughput	We show that human retinal microvascular endothelial cells exposed to high levels of glucose regulate miR-200b repression through histone methylation and that inhibition of PRC2 increases miR-200b while reducing VEGF.	Polycomb repressive complex 2 regulates MiR-200b in retinal endothelial cells: potential relevance in diabetic retinopathy.	2015
microRNA	Homo sapiens	hsa-miR-16-5p	MIMAT0000069	Gestational diabetes mellitus	DOID:11714	-	-	25887942	IRS1/IRS2	upregulation	qRT-PCR	PCR	Low-throughput	Sequencing revealed 32 miRNAs that were differentially expressed in GDM, including 12 miRNAs that were upregulated and 20 that were downregulated. Differential expression of five upregulated miRNAs (hsa-miR-16-5p, hsa-miR-17-5p, hsa-miR-19a-3p, hsa-miR-19b-3p, hsa-miR-20a-5p) was confirmed by qRT-PCR.	Profiling maternal plasma microRNA expression in early pregnancy to predict gestational diabetes mellitus.	2015
microRNA	Homo sapiens	hsa-miR-17-5p	MIMAT0000070	Gestational diabetes mellitus	DOID:11714	-	-	25887942	IRS1/IRS2	upregulation	qRT-PCR	PCR	Low-throughput	Sequencing revealed 32 miRNAs that were differentially expressed in GDM, including 12 miRNAs that were upregulated and 20 that were downregulated. Differential expression of five upregulated miRNAs (hsa-miR-16-5p, hsa-miR-17-5p, hsa-miR-19a-3p, hsa-miR-19b-3p, hsa-miR-20a-5p) was confirmed by qRT-PCR.	Profiling maternal plasma microRNA expression in early pregnancy to predict gestational diabetes mellitus.	2015
microRNA	Homo sapiens	hsa-miR-19a-3p	MIMAT0000073	Gestational diabetes mellitus	DOID:11714	-	-	25887942	IRS1/IRS2	upregulation	qRT-PCR	PCR	Low-throughput	Sequencing revealed 32 miRNAs that were differentially expressed in GDM, including 12 miRNAs that were upregulated and 20 that were downregulated. Differential expression of five upregulated miRNAs (hsa-miR-16-5p, hsa-miR-17-5p, hsa-miR-19a-3p, hsa-miR-19b-3p, hsa-miR-20a-5p) was confirmed by qRT-PCR.	Profiling maternal plasma microRNA expression in early pregnancy to predict gestational diabetes mellitus.	2015
microRNA	Homo sapiens	hsa-miR-19b-3p	MIMAT0000074	Gestational diabetes mellitus	DOID:11714	-	-	25887942	IRS1/IRS2	upregulation	qRT-PCR	PCR	Low-throughput	Sequencing revealed 32 miRNAs that were differentially expressed in GDM, including 12 miRNAs that were upregulated and 20 that were downregulated. Differential expression of five upregulated miRNAs (hsa-miR-16-5p, hsa-miR-17-5p, hsa-miR-19a-3p, hsa-miR-19b-3p, hsa-miR-20a-5p) was confirmed by qRT-PCR.	Profiling maternal plasma microRNA expression in early pregnancy to predict gestational diabetes mellitus.	2015
microRNA	Homo sapiens	hsa-miR-20a-5p	MIMAT0000075	Gestational diabetes mellitus	DOID:11714	-	-	25887942	IRS1/IRS2	upregulation	qRT-PCR	PCR	Low-throughput	Sequencing revealed 32 miRNAs that were differentially expressed in GDM, including 12 miRNAs that were upregulated and 20 that were downregulated. Differential expression of five upregulated miRNAs (hsa-miR-16-5p, hsa-miR-17-5p, hsa-miR-19a-3p, hsa-miR-19b-3p, hsa-miR-20a-5p) was confirmed by qRT-PCR.	Profiling maternal plasma microRNA expression in early pregnancy to predict gestational diabetes mellitus.	2015
microRNA	Homo sapiens	hsa-miR-15b	MIMAT0000417	Diabetic retinopathy	DOID:8947	E14	retinal microvascular endothelium	25888955	TNFα/SOCS3	downregulation	RT-PCR/real-time PCR/Transfection Experiments	PCR;PCR;RNAi/knock down/transfection	Low-throughput	miR-15b and miR-16 play a role in the inhibition of insulin resistance via reduced TNFα and SOCS3 signaling and increased IGFBP-3 levels, resulting in REC protection from hyperglycemia-induced apoptosis. This outcome suggests that both miR-15b and miR-16 are potential therapeutic targets for therapeutics for the diabetic retina.	miR-15b/16 protects primary HSA retinal microvascular endothelial cells against hyperglycemia-induced increases in tumor necrosis factor alpha and suppressor of cytokine signaling 3.	2015
microRNA	Homo sapiens	hsa-miR-16	MIMAT0000069	Diabetic retinopathy	DOID:8947	E14	retinal microvascular endothelium	25888955	TNFα/SOCS3	downregulation	RT-PCR/real-time PCR/Transfection Experiments	PCR;PCR;RNAi/knock down/transfection	Low-throughput	miR-15b and miR-16 play a role in the inhibition of insulin resistance via reduced TNFα and SOCS3 signaling and increased IGFBP-3 levels, resulting in REC protection from hyperglycemia-induced apoptosis. This outcome suggests that both miR-15b and miR-16 are potential therapeutic targets for therapeutics for the diabetic retina.	miR-15b/16 protects primary HSA retinal microvascular endothelial cells against hyperglycemia-induced increases in tumor necrosis factor alpha and suppressor of cytokine signaling 3.	2015
microRNA	Mus musculus	mmu-miR-21	MIMAT0000530	Osteoporosis	DOID:11476	M80	mesenchymal stem cells	25893734	RECK	downregulation	luciferase reporter assay	luciferase assays	Low-throughput	The expression of miR-21 decreased and RECK increased in the osteoporosis model (OVX)mice. … Collectively, miR-21 modulated the osteoporosis by targeting RECK. These results emphasize the role of miR-21 during osteoporosis and suggest RECK might be a new medical target for osteoporosis.	MiR-21 overexpression improves osteoporosis by targeting RECK.	2015
microRNA	Homo sapiens	hsa-miR-29a	MIMAT0000086	Alzheimer's disease	DOID:10652	G30	cerebrospinal fluid	25895659	-	upregulation	qPCR	PCR	Low-throughput	In conclusion, miR-29a may be a candidate biomarker for Alzheimer's disease, but only when used in cell-free cerebrospinal fluid .	microRNA-29a Is a Candidate Biomarker for Alzheimer's disease in Cell-Free Cerebrospinal Fluid.	2015
microRNA	Oryctolagus cuniculus	ocu-miR-181b	-	Atherosclerosis	DOID:1936	-	vessel	25896908	-	downregulation	RT-PCR	PCR	Low-throughput	Hyperlipidemia reduced the expression of miR-181b and increased NT and N/M ratio. Systemic administration of UTI rescued miR-181b expression and inhibited neointimal formation.	Urinary Trypsin Inhibitor Reduced Inflammation Response Induced by Hyperlipidemia	2015
microRNA	Homo sapiens	hsa-miR-195a	-	Obesity	DOID:9970	E66	preadipocytes/adipocytes	25903991	Zfp423/PPARγ	downregulation	real-time PCR	PCR	Low-throughput	Together, our data show that miR-195a is an anti-adipogenic regulator, which acts by targeting Zfp423, and further suggest the roles of miR-195a in obesity and metabolic diseases.	MiR-195a Inhibits Adipocyte Differentiation by Targeting the Preadipogenic Determinator Zfp423.	2015
microRNA	Mus musculus	mmu-miR-146a	MIMAT0000158	Atherosclerosis	DOID:1936	-	monocytes/macrophages	25904598	TRAF6/IRAK1	upregulation	qRT-PCR	PCR	Low-throughput	Our data demonstrate that cellular apoE expression suppresses nuclear factor-κB-mediated inflammation and atherosclerosis by enhancing miR-146a levels in monocytes and macrophages.	Apolipoprotein E Enhances microRNA-146a in Monocytes and Macrophages to Suppress Nuclear Factor-κB-Driven Inflammation and Atherosclerosis.	2015
microRNA	Homo sapiens	hsa-miR-138	MIMAT0000430	Obesity	DOID:9970	E66	serum	25912229	-	downregulation	PCR	PCR	Low-throughput	Data showed that miR-152 and miR-17 were significantly elevated in the OB group, whereas miR-138 was significantly decreased in OB group when compared to controls, T2DM, or T2DM+obesity group. In addition, level of MiR-593 was significantly lower in T2DM group and T2DM+obesity group when compared with controls.	Profiling peripheral microRNAs in obesity and type 2 diabetes mellitus.	2015
microRNA	Homo sapiens	hsa-miR-152	MIMAT0026479/MIMAT0000438	Obesity	DOID:9970	E66	serum	25912229	-	upregulation	PCR	PCR	Low-throughput	Data showed that miR-152 and miR-17 were significantly elevated in the OB group, whereas miR-138 was significantly decreased in OB group when compared to controls, T2DM, or T2DM+obesity group. In addition, level of MiR-593 was significantly lower in T2DM group and T2DM+obesity group when compared with controls.	Profiling peripheral microRNAs in obesity and type 2 diabetes mellitus.	2015
microRNA	Homo sapiens	hsa-miR-17	MIMAT0000070	Obesity	DOID:9970	E66	serum	25912229	-	upregulation	PCR	PCR	Low-throughput	Data showed that miR-152 and miR-17 were significantly elevated in the OB group, whereas miR-138 was significantly decreased in OB group when compared to controls, T2DM, or T2DM+obesity group. In addition, level of MiR-593 was significantly lower in T2DM group and T2DM+obesity group when compared with controls.	Profiling peripheral microRNAs in obesity and type 2 diabetes mellitus.	2015
microRNA	Homo sapiens	hsa-miR-593	MIMAT0003261	Type II diabetes mellitus	DOID:9352	E11	serum	25912229	-	downregulation	PCR	PCR	Low-throughput	Data showed that miR-152 and miR-17 were significantly elevated in the OB group, whereas miR-138 was significantly decreased in OB group when compared to controls, T2DM, or T2DM+obesity group. In addition, level of MiR-593 was significantly lower in T2DM group and T2DM+obesity group when compared with controls.	Profiling peripheral microRNAs in obesity and type 2 diabetes mellitus.	2015
microRNA	Mus musculus	mmu-miR-34a	MIMAT0000542	Non-alcoholic fatty liver disease	-	K76	liver	25916635	SIRT1	differential expression	luciferase assay	luciferase assays	Low-throughput	SIRT1, which is regulated by p53 and microRNA-34a (miR-34a), can modulate non-alcoholic fatty liver disease, fibrosis and cirrhosis. … The miR-34a/SIRT1 pathway may represent a therapeutic target for hepatic injury.	Carbon monoxide protects against hepatic ischemia/reperfusion injury by modulating the miR-34a/SIRT1 pathway.	2015
microRNA	Homo sapiens	hsa-miR-9	MIMAT0000441	Osteoarthritis	DOID:8398	-	-	25917063	MCPIP1	upregulation	luciferase reporter assay	luciferase assays	Low-throughput	These findings implicate miR-9-mediated suppression of MCPIP-1 in the pathogenesis of OA via up-regulation of IL-6 expression in IL-1β-stimulated human OA chondrocytes.	microRNA-9 promotion of interleukin-6 expression by inhibiting monocyte chemoattractant protein-induced protein 1 expression in interleukin-1β-stimulated human chondrocytes.	2015
microRNA	Rattus norvegicus	rno-miR-155	MIMAT0030409/MIMAT0030410	Diabetes mellitus	DOID:9351	E10-E14	kidney/heart/aorta/PBMCs/sciatic nerve	25929727	-	downregulation	real-time PCR	PCR	Low-throughput	These results suggest that changes in the expression of miR-155 may participate in the pathogenesis of diabetes-related complications, but causal relationship between miR-155 dysregulation and diabetic complications is unknown.	A signature of microRNA-155 in the pathogenesis of diabetic complications	2015
microRNA	Homo sapiens	hsa-miR-29b	MIMAT0000100	Hyperaldosteronism	DOID:446	E26	-	25944465	-	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	miR-375, miR-7, miR-29b were found to be significantly differentially expressed. miR-375 was the most downregulated one in adrenal cortex tissues from primary aldosteronism patients and its expression level was inversely correlated with the tumor size in aldosterone-producing adenoma.	Downregulation of miR-375 in aldosterone-producing adenomas promotes tumor cell growth via MTDH	2015
microRNA	Homo sapiens	hsa-miR-375	MIMAT0000728	Hyperaldosteronism	DOID:446	E26	-	25944465	-	downregulation	microarray/qRT-PCR	array;PCR	Low-throughput	miR-375, miR-7, miR-29b were found to be significantly differentially expressed. miR-375 was the most downregulated one in adrenal cortex tissues from primary aldosteronism patients and its expression level was inversely correlated with the tumor size in aldosterone-producing adenoma.	Downregulation of miR-375 in aldosterone-producing adenomas promotes tumor cell growth via MTDH	2015
microRNA	Homo sapiens	hsa-miR-7	MIMAT0000252	Hyperaldosteronism	DOID:446	E26	-	25944465	-	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	miR-375, miR-7, miR-29b were found to be significantly differentially expressed. miR-375 was the most downregulated one in adrenal cortex tissues from primary aldosteronism patients and its expression level was inversely correlated with the tumor size in aldosterone-producing adenoma.	Downregulation of miR-375 in aldosterone-producing adenomas promotes tumor cell growth via MTDH	2015
microRNA	Homo sapiens	hsa-miR-130b	MIMAT0000691	Diabetic nephropathy	-	E14	serum	25952368	TGF-β1/HIF-1α/FN	downregulation	real-time PCR/ELISA	immunochemistry;PCR	Low-throughput	Compared with control, serum miR-130b levels were significantly decreased in type 2 diabetes mellitus(T2DM) patients and further decreased in the patients of diabetes mellitus, DN1 and DN2 groups (p < 0.001).Our findings suggest that serum miR-130b may be a new biomarker for the early diagnosis of DN in T2DM.	The changes in miR-130b levels in human serum and the correlation with the severity of diabetic nephropathy.	2015
microRNA	Homo sapiens	hsa-miR-29c	MIMAT0000681	Alzheimer's disease	DOID:10652	G30	blood	25955795	AcAMP	downregulation	qRT-PCR	PCR	Low-throughput	This evidence suggested that miR-29c may be a promising potential therapeutic target against AD.	microRNA-29c targets β-site amyloid precursor protein-cleaving enzyme 1 and has a neuroprotective role in vitro and in vivo.	2015
microRNA	Mus musculus	mmu-miR-33	MIMAT0000667	Alzheimer's disease	DOID:10652	G30	brain	25957561	ABCA1	downregulation	qPCR	PCR	Low-throughput	We also show that intracerebral delivery of an ASO targeting miR-33 leads to increased ABCA1 expression in cerebral cortex or subcortical structures such as hippocampus. These findings highlight an effective strategy for increasing brain ABCA1 expression/activity for relevant mechanistic studies.	Direct intracerebral delivery of a miR-33 antisense oligonucleotide into Mmu brain increases brain ABCA1 expression.	2015
microRNA	Mus musculus	mmu-miR-451	MIMAT0001632	Non-alcoholic steatohepatitis	-	-	liver	25957914	Cab39	differential expression	qRT-PCR	PCR	Low-throughput	Downregulation of microRNA-451 in non-alcoholic steatohepatitis inhibits fatty acid-induced proinflammatory cytokine production through the AMPK/AKT pathway.	Downregulation of microRNA-451 in non-alcoholic steatohepatitis inhibits fatty acid-induced proinflammatory cytokine production through the AMPK/AKT pathway.	2015
microRNA	Homo sapiens	hsa-miR-146a	MIMAT0000449	Metabolic syndrome	DOID:14221	E70-E90	serum	25958310	abca1	upregulation	RT-PCR	PCR	Low-throughput	The C allele of miRNA-146a rs2910164 showed positive association with increased susceptibility to metabolic syndrome and its phenotypes in the study population.	Association of microRNA-146a rs2910164 Gene Polymorphism with Metabolic Syndrome.	2015
microRNA	Rattus norvegicus	rno-miR-122	MIMAT0000827	Non-alcoholic fatty liver disease	-	K76	serum/liver	25958847	-	upregulation	real-time PCR	PCR	Low-throughput	Our findings suggest that serum miR-122 level is indeed useful for assessing early NAFLD and might be superior to clinical markers traditionally used to monitor hepatic disease.	Longitudinal study of circulating miR-122 in a Rno model of non-alcoholic fatty liver disease.	2015
microRNA	Homo sapiens	hsa-miR-26a	MIMAT0000082	Type II diabetes mellitus	DOID:9352	E11	liver	25961460	PCK1/TCF7L2	downregulation	qRT-PCR	PCR	Low-throughput	miR-26a as a regulator of liver metabolism and suggest miR-26a should be further explored as a potential target for the treatment of T2D.	microRNA-26a regulates insulin sensitivity and metabolism of glucose and lipids.	2015
microRNA	Rattus norvegicus	rno-miR-200a	MIMAT0000874	Aging	-	-	corpus cavernosum	25966629	SIRT1	upregulation	real-time qPCR	PCR	Low-throughput	Finally, based on the results of our previous study, we further verify that up-regulation of miR-200a could participate in the mechanisms of aging-related erectile dysfunction via SIRT1 inhibition, and mainly attenuate endothelial function via influencing the eNOS/NO/PKGpathway.	microRNA-200a is up-regulated in aged Rno with erectile dysfunction and could attenuate endothelial function via SIRT1 inhibition.	2016
microRNA	Mus musculus	mmu-miR-124	MIMAT0000134	Parkinson's disease	DOID:14330	G20	neurons	25976060	-	downregulation	RT-PCR	PCR	Low-throughput	Taken together, these results indicate that upregulation of miR-124 could regulate apoptosis and impaired autophagy process in the MPTP model of PD, thus reducing the loss of DA neurons.	MiR-124 Regulates Apoptosis and Autophagy Process in MPTP Model of Parkinson's Disease by Targeting to Bim.	2016
microRNA	Homo sapiens	hsa-miR-370	MIMAT0000722	Type II diabetes mellitus	DOID:9352	E11	-	25978320	-	upregulation	RT-PCR	PCR	Low-throughput	miRNA 9 levels were significantly higher in T2D patients and T2D patients with CAD, (1.18±0.07, and 1.31±0.08 respectively), while miRNA 370 levels were significantly higher in T2D patients, CAD patients, and T2D patients with CAD (0.59±0.05, 1.00±0.05, and 1.20±0.06 respectively), compared to control group.	microRNAs 9 and 370 Association with Biochemical Markers in T2D and CAD Complication of T2D.	2015
microRNA	Homo sapiens	hsa-miR-9	MIMAT0000441	Type II diabetes mellitus	DOID:9352	E11	-	25978320	-	upregulation	RT-PCR	PCR	Low-throughput	miRNA 9 levels were significantly higher in T2D patients and T2D patients with CAD, (1.18±0.07, and 1.31±0.08 respectively), while miRNA 370 levels were significantly higher in T2D patients, CAD patients, and T2D patients with CAD (0.59±0.05, 1.00±0.05, and 1.20±0.06 respectively), compared to control group.	microRNAs 9 and 370 Association with Biochemical Markers in T2D and CAD Complication of T2D.	2015
microRNA	Homo sapiens	hsa-miR-194	MIMAT0000460	Obesity	DOID:9970	E66	liver	25984739	TRAF6/TLR4	downregulation	RT-PCR	PCR	Low-throughput	Taken together, our study was aimed to understand the mechanism of fatty acid-mediated inflammation and look for an effective target which can prevent the inflammatory response induced by obesity. … .miR-194 negatively regulates the TLR4 signal pathway which is activated by PA through directly negative TRAF6 expression.	MiRNA-194 Regulates Palmitic Acid-Induced Toll-Like Receptor 4 Inflammatory Responses in THP-1 Cells.	2015
microRNA	Mus musculus	mmu-miR-200	-	Type II diabetes mellitus	DOID:9352	E11	beta-cell	25985365	Hspa5/Ddit3	downregulation	qPCR	PCR	Low-throughput	Our results reveal a crucial role for the miR-200 family in beta cell survival and the pathophysiology of diabetes.	The microRNA-200 family regulates pancreatic beta cell survival in type 2 diabetes.	2015
microRNA	Mus musculus	mmu-miR-148a	MIMAT0000516	Obesity	DOID:9970	E66	adipose tissue	26001136	CREB	upregulation	qRT-PCR	PCR	Low-throughput	Furthermore, miR-148a expression levels increased in adipose tissues from obese people and mice fed high-fat diet.	miR-148a is Associated with Obesity and Modulates Adipocyte Differentiation of Mesenchymal Stem Cells through Wnt Signaling.	2015
microRNA	Mus musculus	mmu-miR-204	MIMAT0000237	Proteinuria	DOID:576	O10-O16	trophoblast-like cell	26003727	MMP9	differential expression	real-time PCR	PCR	Low-throughput	Preeclampsia is a devastating pregnancy-related syndrome characterized by the onset of hypertension, proteinuria and edema. … Our study suggests miR-204 as a novel therapeutic target for preeclampsia.	microRNA-204 suppresses trophoblast-like cell invasion by targeting matrix metalloproteinase-9.	2015
microRNA	Homo sapiens	hsa-miR-26b	MIMAT0000083	Obesity	DOID:9970	E66	preadipocytes/mature adipocytes	26016996	cyclin D2	upregulation	PCR	PCR	Low-throughput	During differentiation, the protein expression levels of adipogenesis‑associated marker genes, including peroxisome proliferator‑activated receptor γ, CCAAT/enhancer‑binding protein α, fatty acid‑binding protein and hormone‑sensitive lipase were upregulated in cells overexpressing miR‑26b, compared with the negative control cells.	Obesity-associated microRNA-26b regulates the proliferation of human preadipocytes via arrest of the G1/S transition.	2015
microRNA	Homo sapiens	hsa-miR-193b	MIMAT0002819	Obesity	DOID:9970	E66	white adipose tissue	26020766	NF-YA/NRIP1	downregulation	qPCR	PCR	Low-throughput	miR-193b increased adiponectin secretion when overexpressed in human adipocytes.	microRNA-193b controls adiponectin production in human white adipose tissue.	2015
microRNA	Homo sapiens	hsa-miR-155	MIMAT0000646	Diabetic retinopathy	DOID:8947	E14	regulatory T cells (Treg)	26035063	-	upregulation	real-time qPCR	PCR	Low-throughput	In type 2 diabetes mellitus (T2DM) retinopathy, miR-155 may play an important role in the pathogenesis of T2DM retinopathy by regulating the Treg cells with TGF-β.	Regulatory T cells in the pathogenesis of type 2 diabetes mellitus retinopathy by miR-155.	2015
microRNA	Homo sapiens	hsa-miR-194-5p	MIMAT0000460	Osteoporosis	DOID:11476	M80	-	26038726	-	upregulation	qRT-PCR	PCR	Low-throughput	Taken together, the present findings suggest that miR-194-5p may be a viable miRNA biomarker for postmenopausal osteoporosis.	Identification of miR-194-5p as a potential biomarker for postmenopausal osteoporosis.	2015
microRNA	Homo sapiens	hsa-let-7a-2	MI0000061	Diabetic nephropathy	-	E14	-	26049093	UHRF1	downregulation	microarray/real-time PCR	array;PCR	Low-throughput	Therefore, it suggested that the down-expressions of let-7a-2 and let-7a-3 may contribute to the down-expression of let-7a in Diabetic nephropathy.	Promoter hypermethylation of let-7a-3 is relevant to its down-expression in diabetic nephropathy by targeting UHRF1.	2015
microRNA	Homo sapiens	hsa-let-7a-3	MI0000062	Diabetic nephropathy	-	E14	-	26049093	UHRF1	downregulation	microarray/real-time PCR	array;PCR	Low-throughput	Therefore, it suggested that the down-expressions of let-7a-2 and let-7a-3 may contribute to the down-expression of let-7a in Diabetic nephropathy.	Promoter hypermethylation of let-7a-3 is relevant to its down-expression in diabetic nephropathy by targeting UHRF1.	2015
microRNA	Homo sapiens	hsa-miR-26a	MIMAT0000082	Diabetic nephropathy	-	E14	glomerular cells	26063197	CTGF	downregulation	array/real-time PCR/luciferase assay	array;luciferase assays;PCR	Low-throughput	We observed a positive correlation between microdissected glomerular miR-26a expression levels and estimated GFR in patients with diabetic nephropathy. … The downregulation of miR-26a is involved in the progression of diabetic nephropathy both in humans and in mice through enhanced TGF-β/CTGF signalling.	microRNA-26a inhibits TGF-β-induced extracellular matrix protein expression in podocytes by targeting CTGF and is downregulated in diabetic nephropathy.	2015
microRNA	Mus musculus	mmu-miR-133a	MIMAT0000145	Diabetes mellitus	DOID:9351	E10-E14	-	26064437	Beclin1/LC3B/ATG3/mTOR/AMPK	downregulation	real-time qPCR/immunofluorescence staining	immunochemistry;PCR	Low-throughput	In conclusion, attenuation of miR-133a contributes to the exacerbation of diabetes mediated cardiac autophagy and hypertrophy in heart failure patients undergoing LVAD implantation.	Induction of autophagy markers is associated with attenuation of miR-133a in diabetic heart failure patients undergoing mechanical unloading.	2015
microRNA	Homo sapiens	hsa-miR-143	MIMAT0000435	Alzheimer's disease	DOID:10652	G30	serum	26078483	-	downregulation	real-time qPCR	PCR	Low-throughput	The results showed that four miRNAs (miR-31, miR-93, miR-143, and miR-146a) were markedly decreased in AD patients’ serum compared with controls.	Serum microRNA Profiles Serve as Novel Biomarkers for the Diagnosis of Alzheimer's disease.	2015
microRNA	Homo sapiens	hsa-miR-146a	MIMAT0000449	Alzheimer's disease	DOID:10652	G30	serum	26078483	-	downregulation	real-time qPCR	PCR	Low-throughput	The results showed that four miRNAs (miR-31, miR-93, miR-143, and miR-146a) were markedly decreased in AD patients’ serum compared with controls.	Serum microRNA Profiles Serve as Novel Biomarkers for the Diagnosis of Alzheimer's disease.	2015
microRNA	Homo sapiens	hsa-miR-31	MIMAT0000089	Alzheimer's disease	DOID:10652	G30	serum	26078483	-	downregulation	real-time qPCR	PCR	Low-throughput	The results showed that four miRNAs (miR-31, miR-93, miR-143, and miR-146a) were markedly decreased in AD patients’ serum compared with controls.	Serum microRNA Profiles Serve as Novel Biomarkers for the Diagnosis of Alzheimer's disease.	2015
microRNA	Homo sapiens	hsa-miR-93	MIMAT0000093	Alzheimer's disease	DOID:10652	G30	serum	26078483	-	downregulation	real-time qPCR	PCR	Low-throughput	The results showed that four miRNAs (miR-31, miR-93, miR-143, and miR-146a) were markedly decreased in AD patients’ serum compared with controls.	Serum microRNA Profiles Serve as Novel Biomarkers for the Diagnosis of Alzheimer's disease.	2015
microRNA	Mus musculus	mmu-miR-132	MIMAT0000144	Aging	-	-	hematopoietic cell-fate	26084022	FOXO3	upregulation	qRT-PCR	PCR	Low-throughput	We found that the microRNA-212/132 cluster (Mirc19) is enriched in HSCs and is upregulated during aging.	The microRNA-132 and microRNA-212 Cluster Regulates Hematopoietic Stem Cell Maintenance and Survival with Age by Buffering FOXO3 Expression.	2015
microRNA	Mus musculus	mmu-miR-212	MIMAT0000659	Aging	-	-	hematopoietic cell-fate	26084022	FOXO3	upregulation	qRT-PCR	PCR	Low-throughput	We found that the microRNA-212/132 cluster (Mirc19) is enriched in HSCs and is upregulated during aging.	The microRNA-132 and microRNA-212 Cluster Regulates Hematopoietic Stem Cell Maintenance and Survival with Age by Buffering FOXO3 Expression.	2015
microRNA	Homo sapiens	hsa-miR-7	MIMAT0000252	Diabetes mellitus	DOID:9351	E10-E14	pancreas islets	26103160	-	downregulation	Transfection Experiments	RNAi/knock down/transfection	Low-throughput	Diabetes results from inadequate insulin production from pancreatic β-cells. … microRNA-7 transcription factor network is important in pancreatic endocrine differentiation. Chemical transfection with microRNA-7 can differentiate HSA induced pluripotent stem cells into functional isletlike cell clusters in a short time.	Differentiation of HSA-Induced Pluripotent Stem Cells Into Insulin-Producing Clusters by microRNA-7.	2015
microRNA	Homo sapiens	hsa-miR-483	MIMAT0002173	Diabetes mellitus	DOID:9351	E10-E14	beta-cell	26109062	SOCS3	upregulation	real-time qPCR	PCR	Low-throughput	Moreover, overexpressed miR-483 protected against proinflammatory cytokine-induced apoptosis in β-cells. This correlates with a higher expression level of miR-483 and the expanded β-cell mass observed in the islets of prediabetic db/db mice. Together, our data suggest that miR-483 has opposite effects in α- and β-cells by targeting SOCS3, and the imbalance of miR-483 and its targets may play a crucial role in diabetes pathogenesis.	Differentially Expressed microRNA-483 Confers Distinct Functions in Pancreatic β- and α-Cells.	2015
